2, 0, True, 0.002028942108154297, 4, 12, 0, 0.0, []
4, 0, True, 0.004011869430541992, 12, 24, 0, 0.0, []
8, 0, True, 0.008496761322021484, 28, 48, 0, 0.0, []
16, 0, True, 0.01744389533996582, 60, 96, 0, 0.0, []
32, 0, True, 0.0357050895690918, 124, 192, 0, 0.0, []
64, 0, True, 0.0696871280670166, 252, 384, 1, 0.0, []
128, 0, True, 0.13891100883483887, 508, 768, 1, 0.0, []
256, 0, True, 0.27215576171875, 1020, 1536, 0, 0.0, []
512, 0, True, 0.6257951259613037, 2044, 3072, 0, 0.0, []
1024, 0, True, 6.53567099571228, 4092, 6144, 6, 0.0, []
